Grade Distribution by Institution, Course Group, Academic Organization, and Course for 4195
"Institution Code","Inst Description","Term Code","Term Description","Academic Group Code","Academic Group Description","Academic Organization Code","Academic Organization Description","Department Code","Course Subject","Catalog Number","GPA Grades","Total Grades","Percent Majors","Avg Class Grade","Avg Student GPA","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","P","S","I","R","NY","NR","NC","W","WX","Other","Data Freeze Date",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-X","503","171","175","100","3.991","3.625","0","166","5","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-X","513","237","247","100","3.997","3.733","0","235","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-X","520","72","82","93.6","3.943","3.74","14","47","9","2","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","4","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-X","521","18","19","100","4","3.776","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-X","522","48","51","65.3","3.646","3.593","1","21","12","5","6","3","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-X","532","27","28","0","4","3.649","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-X","572","40","42","100","3.928","3.756","0","33","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-X","573","27","28","100","3.689","3.642","0","7","14","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-X","574","70","84","91.7","3.859","3.672","21","40","2","2","1","3","0","0","0","0","1","0","0","0","0","1","0","1","0","12","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-X","575","7","10","100","4","3.725","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","09-06-2019",
